Date,Time,Current Demand Units = kW
4/1/2023,0:00,352
4/1/2023,0:15,360
4/1/2023,0:30,344
4/1/2023,0:45,352
4/1/2023,1:00,344
4/1/2023,1:15,352
4/1/2023,1:30,344
4/1/2023,1:45,336
4/1/2023,2:00,344
4/1/2023,2:15,352
4/1/2023,2:30,360
4/1/2023,2:45,352
4/1/2023,3:00,352
4/1/2023,3:15,344
4/1/2023,3:30,352
4/1/2023,3:45,352
4/1/2023,4:00,352
4/1/2023,4:15,344
4/1/2023,4:30,344
4/1/2023,4:45,352
4/1/2023,5:00,344
4/1/2023,5:15,352
4/1/2023,5:30,352
4/1/2023,5:45,352
4/1/2023,6:00,344
4/1/2023,6:15,352
4/1/2023,6:30,352
4/1/2023,6:45,344
4/1/2023,7:00,328
4/1/2023,7:15,336
4/1/2023,7:30,336
4/1/2023,7:45,336
4/1/2023,8:00,328
4/1/2023,8:15,336
4/1/2023,8:30,336
4/1/2023,8:45,328
4/1/2023,9:00,336
4/1/2023,9:15,352
4/1/2023,9:30,360
4/1/2023,9:45,352
4/1/2023,10:00,352
4/1/2023,10:15,368
4/1/2023,10:30,376
4/1/2023,10:45,368
4/1/2023,11:00,368
4/1/2023,11:15,376
4/1/2023,11:30,400
4/1/2023,11:45,408
4/1/2023,12:00,400
4/1/2023,12:15,424
4/1/2023,12:30,416
4/1/2023,12:45,424
4/1/2023,13:00,448
4/1/2023,13:15,440
4/1/2023,13:30,448
4/1/2023,13:45,456
4/1/2023,14:00,464
4/1/2023,14:15,464
4/1/2023,14:30,464
4/1/2023,14:45,488
4/1/2023,15:00,464
4/1/2023,15:15,488
4/1/2023,15:30,464
4/1/2023,15:45,480
4/1/2023,16:00,480
4/1/2023,16:15,464
4/1/2023,16:30,472
4/1/2023,16:45,480
4/1/2023,17:00,456
4/1/2023,17:15,448
4/1/2023,17:30,456
4/1/2023,17:45,448
4/1/2023,18:00,432
4/1/2023,18:15,408
4/1/2023,18:30,400
4/1/2023,18:45,400
4/1/2023,19:00,392
4/1/2023,19:15,376
4/1/2023,19:30,368
4/1/2023,19:45,376
4/1/2023,20:00,384
4/1/2023,20:15,384
4/1/2023,20:30,360
4/1/2023,20:45,376
4/1/2023,21:00,392
4/1/2023,21:15,376
4/1/2023,21:30,368
4/1/2023,21:45,368
4/1/2023,22:00,376
4/1/2023,22:15,384
4/1/2023,22:30,368
4/1/2023,22:45,360
4/1/2023,23:00,368
4/1/2023,23:15,376
4/1/2023,23:30,368
4/1/2023,23:45,360
4/2/2023,0:00,368
4/2/2023,0:15,360
4/2/2023,0:30,368
4/2/2023,0:45,368
4/2/2023,1:00,352
4/2/2023,1:15,352
4/2/2023,1:30,360
4/2/2023,1:45,360
4/2/2023,2:00,352
4/2/2023,2:15,352
4/2/2023,2:30,360
4/2/2023,2:45,352
4/2/2023,3:00,360
4/2/2023,3:15,344
4/2/2023,3:30,352
4/2/2023,3:45,352
4/2/2023,4:00,360
4/2/2023,4:15,344
4/2/2023,4:30,352
4/2/2023,4:45,352
4/2/2023,5:00,352
4/2/2023,5:15,352
4/2/2023,5:30,344
4/2/2023,5:45,344
4/2/2023,6:00,352
4/2/2023,6:15,344
4/2/2023,6:30,352
4/2/2023,6:45,352
4/2/2023,7:00,336
4/2/2023,7:15,344
4/2/2023,7:30,344
4/2/2023,7:45,344
4/2/2023,8:00,336
4/2/2023,8:15,336
4/2/2023,8:30,336
4/2/2023,8:45,336
4/2/2023,9:00,328
4/2/2023,9:15,336
4/2/2023,9:30,328
4/2/2023,9:45,352
4/2/2023,10:00,336
4/2/2023,10:15,344
4/2/2023,10:30,352
4/2/2023,10:45,356
4/2/2023,11:00,360
4/2/2023,11:15,336
4/2/2023,11:30,320
4/2/2023,11:45,336
4/2/2023,12:00,320
4/2/2023,12:15,336
4/2/2023,12:30,328
4/2/2023,12:45,328
4/2/2023,13:00,344
4/2/2023,13:15,336
4/2/2023,13:30,368
4/2/2023,13:45,360
4/2/2023,14:00,344
4/2/2023,14:15,352
4/2/2023,14:30,344
4/2/2023,14:45,344
4/2/2023,15:00,352
4/2/2023,15:15,352
4/2/2023,15:30,360
4/2/2023,15:45,336
4/2/2023,16:00,344
4/2/2023,16:15,344
4/2/2023,16:30,328
4/2/2023,16:45,320
4/2/2023,17:00,336
4/2/2023,17:15,328
4/2/2023,17:30,344
4/2/2023,17:45,320
4/2/2023,18:00,328
4/2/2023,18:15,336
4/2/2023,18:30,336
4/2/2023,18:45,344
4/2/2023,19:00,328
4/2/2023,19:15,336
4/2/2023,19:30,344
4/2/2023,19:45,344
4/2/2023,20:00,336
4/2/2023,20:15,336
4/2/2023,20:30,336
4/2/2023,20:45,320
4/2/2023,21:00,336
4/2/2023,21:15,336
4/2/2023,21:30,344
4/2/2023,21:45,336
4/2/2023,22:00,344
4/2/2023,22:15,336
4/2/2023,22:30,336
4/2/2023,22:45,336
4/2/2023,23:00,344
4/2/2023,23:15,328
4/2/2023,23:30,336
4/2/2023,23:45,336
4/3/2023,0:00,352
4/3/2023,0:15,344
4/3/2023,0:30,336
4/3/2023,0:45,336
4/3/2023,1:00,336
4/3/2023,1:15,336
4/3/2023,1:30,336
4/3/2023,1:45,328
4/3/2023,2:00,328
4/3/2023,2:15,328
4/3/2023,2:30,328
4/3/2023,2:45,336
4/3/2023,3:00,328
4/3/2023,3:15,336
4/3/2023,3:30,336
4/3/2023,3:45,328
4/3/2023,4:00,336
4/3/2023,4:15,320
4/3/2023,4:30,336
4/3/2023,4:45,328
4/3/2023,5:00,336
4/3/2023,5:15,320
4/3/2023,5:30,328
4/3/2023,5:45,352
4/3/2023,6:00,368
4/3/2023,6:15,376
4/3/2023,6:30,368
4/3/2023,6:45,368
4/3/2023,7:00,384
4/3/2023,7:15,384
4/3/2023,7:30,392
4/3/2023,7:45,416
4/3/2023,8:00,424
4/3/2023,8:15,424
4/3/2023,8:30,432
4/3/2023,8:45,448
4/3/2023,9:00,464
4/3/2023,9:15,464
4/3/2023,9:30,456
4/3/2023,9:45,464
4/3/2023,10:00,456
4/3/2023,10:15,448
4/3/2023,10:30,440
4/3/2023,10:45,432
4/3/2023,11:00,440
4/3/2023,11:15,440
4/3/2023,11:30,456
4/3/2023,11:45,448
4/3/2023,12:00,456
4/3/2023,12:15,456
4/3/2023,12:30,456
4/3/2023,12:45,456
4/3/2023,13:00,448
4/3/2023,13:15,464
4/3/2023,13:30,464
4/3/2023,13:45,456
4/3/2023,14:00,464
4/3/2023,14:15,456
4/3/2023,14:30,448
4/3/2023,14:45,456
4/3/2023,15:00,456
4/3/2023,15:15,440
4/3/2023,15:30,424
4/3/2023,15:45,408
4/3/2023,16:00,432
4/3/2023,16:15,424
4/3/2023,16:30,416
4/3/2023,16:45,408
4/3/2023,17:00,408
4/3/2023,17:15,384
4/3/2023,17:30,400
4/3/2023,17:45,384
4/3/2023,18:00,392
4/3/2023,18:15,392
4/3/2023,18:30,376
4/3/2023,18:45,368
4/3/2023,19:00,368
4/3/2023,19:15,368
4/3/2023,19:30,368
4/3/2023,19:45,368
4/3/2023,20:00,352
4/3/2023,20:15,360
4/3/2023,20:30,360
4/3/2023,20:45,360
4/3/2023,21:00,360
4/3/2023,21:15,344
4/3/2023,21:30,344
4/3/2023,21:45,352
4/3/2023,22:00,352
4/3/2023,22:15,352
4/3/2023,22:30,352
4/3/2023,22:45,344
4/3/2023,23:00,344
4/3/2023,23:15,352
4/3/2023,23:30,352
4/3/2023,23:45,336
4/4/2023,0:00,344
4/4/2023,0:15,352
4/4/2023,0:30,352
4/4/2023,0:45,360
4/4/2023,1:00,352
4/4/2023,1:15,344
4/4/2023,1:30,352
4/4/2023,1:45,352
4/4/2023,2:00,352
4/4/2023,2:15,352
4/4/2023,2:30,344
4/4/2023,2:45,352
4/4/2023,3:00,352
4/4/2023,3:15,352
4/4/2023,3:30,352
4/4/2023,3:45,344
4/4/2023,4:00,352
4/4/2023,4:15,352
4/4/2023,4:30,344
4/4/2023,4:45,336
4/4/2023,5:00,344
4/4/2023,5:15,344
4/4/2023,5:30,344
4/4/2023,5:45,360
4/4/2023,6:00,376
4/4/2023,6:15,368
4/4/2023,6:30,376
4/4/2023,6:45,384
4/4/2023,7:00,376
4/4/2023,7:15,408
4/4/2023,7:30,416
4/4/2023,7:45,416
4/4/2023,8:00,432
4/4/2023,8:15,456
4/4/2023,8:30,456
4/4/2023,8:45,456
4/4/2023,9:00,456
4/4/2023,9:15,464
4/4/2023,9:30,472
4/4/2023,9:45,464
4/4/2023,10:00,456
4/4/2023,10:15,448
4/4/2023,10:30,464
4/4/2023,10:45,464
4/4/2023,11:00,464
4/4/2023,11:15,472
4/4/2023,11:30,464
4/4/2023,11:45,480
4/4/2023,12:00,504
4/4/2023,12:15,488
4/4/2023,12:30,496
4/4/2023,12:45,500
4/4/2023,13:00,504
4/4/2023,13:15,512
4/4/2023,13:30,488
