interval_start,interval_kW
3/5/19 3:45,49.44
3/5/19 3:30,51.36
3/5/19 3:15,50.88
3/5/19 3:00,52.8
3/5/19 2:45,52.32
3/5/19 2:30,50.88
3/5/19 2:15,51.36
3/5/19 2:00,50.4
3/5/19 1:45,53.28
3/5/19 1:30,52.8
3/5/19 1:15,51.84
3/5/19 1:00,50.88
3/5/19 0:45,52.32
3/5/19 0:30,51.84
3/5/19 0:15,51.36
3/5/19 0:00,50.4
3/4/19 23:45,55.68
3/4/19 23:30,53.76
3/4/19 23:15,53.28
3/4/19 23:00,51.84
3/4/19 22:45,52.8
3/4/19 22:30,53.76
3/4/19 22:15,72
3/4/19 22:00,72.96
3/4/19 21:45,75.84
3/4/19 21:30,72.48
3/4/19 21:15,68.64
3/4/19 21:00,62.88
3/4/19 20:45,72.48
3/4/19 20:30,74.88
3/4/19 20:15,70.08
3/4/19 20:00,71.04
3/4/19 19:45,70.08
3/4/19 19:30,67.2
3/4/19 19:15,72.48
3/4/19 19:00,185.28
3/4/19 18:45,187.68
3/4/19 18:30,189.12
3/4/19 18:15,194.4
3/4/19 18:00,192.96
3/4/19 17:45,190.56
3/4/19 17:30,193.44
3/4/19 17:15,196.32
3/4/19 17:00,196.32
3/4/19 16:45,192
3/4/19 16:30,95.52
3/4/19 16:15,80.16
3/4/19 16:00,87.84
3/4/19 15:45,91.68
3/4/19 15:30,89.28
3/4/19 15:15,98.88
3/4/19 15:00,100.32
3/4/19 14:45,120
3/4/19 14:30,132.96
3/4/19 14:15,123.84
3/4/19 14:00,134.88
3/4/19 13:45,124.8
3/4/19 13:30,127.2
3/4/19 13:15,127.2
3/4/19 13:00,125.28
3/4/19 12:45,118.56
3/4/19 12:30,120.48
3/4/19 12:15,116.64
3/4/19 12:00,125.28
3/4/19 11:45,127.2
3/4/19 11:30,121.44
3/4/19 11:15,125.28
3/4/19 11:00,124.32
3/4/19 10:45,117.6
3/4/19 10:30,119.04
3/4/19 10:15,119.52
3/4/19 10:00,119.52
3/4/19 9:45,120
3/4/19 9:30,121.44
3/4/19 9:15,121.92
3/4/19 9:00,118.08
3/4/19 8:45,114.24
3/4/19 8:30,121.92
3/4/19 8:15,116.64
3/4/19 8:00,95.04
3/4/19 7:45,88.8
3/4/19 7:30,87.84
3/4/19 7:15,85.92
3/4/19 7:00,61.44
3/4/19 6:45,47.04
3/4/19 6:30,44.64
3/4/19 6:15,44.64
3/4/19 6:00,46.56
3/4/19 5:45,50.88
3/4/19 5:30,49.44
3/4/19 5:15,48.48
3/4/19 5:00,47.04
3/4/19 4:45,47.52
3/4/19 4:30,48.48
3/4/19 4:15,47.52
3/4/19 4:00,50.4
3/4/19 3:45,47.52
3/4/19 3:30,50.88
3/4/19 3:15,50.4
3/4/19 3:00,47.04
3/4/19 2:45,48
3/4/19 2:30,49.44
3/4/19 2:15,49.44
3/4/19 2:00,45.12
3/4/19 1:45,49.92
3/4/19 1:30,48.48
3/4/19 1:15,50.4
3/4/19 1:00,50.88
3/4/19 0:45,49.44
3/4/19 0:30,48.48
3/4/19 0:15,47.04
3/4/19 0:00,50.4
3/3/19 23:45,49.92
3/3/19 23:30,48.48
3/3/19 23:15,48.48
3/3/19 23:00,50.88
3/3/19 22:45,50.88
3/3/19 22:30,48.48
3/3/19 22:15,48
3/3/19 22:00,50.4
3/3/19 21:45,50.4
3/3/19 21:30,48.96
3/3/19 21:15,48.48
3/3/19 21:00,52.32
3/3/19 20:45,51.36
3/3/19 20:30,47.04
3/3/19 20:15,50.4
3/3/19 20:00,53.76
3/3/19 19:45,52.32
3/3/19 19:30,47.04
3/3/19 19:15,49.44
3/3/19 19:00,50.4
3/3/19 18:45,48
3/3/19 18:30,51.36
3/3/19 18:15,48.96
3/3/19 18:00,47.04
3/3/19 17:45,45.6
3/3/19 17:30,49.44
3/3/19 17:15,44.64
3/3/19 17:00,41.76
3/3/19 16:45,41.28
3/3/19 16:30,31.2
3/3/19 16:15,33.12
3/3/19 16:00,34.56
3/3/19 15:45,53.28
3/3/19 15:30,54.24
3/3/19 15:15,56.16
3/3/19 15:00,40.32
3/3/19 14:45,39.84
3/3/19 14:30,36.48
3/3/19 14:15,33.6
3/3/19 14:00,36.48
3/3/19 13:45,34.08
3/3/19 13:30,32.16
3/3/19 13:15,37.92
3/3/19 13:00,35.52
3/3/19 12:45,36.96
3/3/19 12:30,49.92
3/3/19 12:15,57.12
3/3/19 12:00,58.08
3/3/19 11:45,60.48
3/3/19 11:30,62.88
3/3/19 11:15,65.28
3/3/19 11:00,58.56
3/3/19 10:45,57.12
3/3/19 10:30,54.24
3/3/19 10:15,64.8
3/3/19 10:00,63.84
3/3/19 9:45,62.88
3/3/19 9:30,60.48
3/3/19 9:15,56.16
3/3/19 9:00,54.24
3/3/19 8:45,58.08
3/3/19 8:30,60
3/3/19 8:15,60
