hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,1/1/2004 0:00,0,0,0,8.47,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/1/2004 1:00,0,0,0,8.03,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1/1/2004 2:00,0,0,0,7.68,1.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1/1/2004 3:00,0,0,0,7.32,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/1/2004 4:00,0,0,0,6.97,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1/1/2004 5:00,0,0,0,6.98,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1/1/2004 6:00,0,0,0,7,1.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1/1/2004 7:00,1,0,1,7.01,1.22,0,-3.4110742,115.442024,82.68586,0,,1,0,0.8660508,0.009369222,0,0.83527476,0,0,0.80295634,0,0.7684292,0.7684132,3286.4636,7.0286655,1492.6426,1579.9633,1548.8903,0,0,1548.8806,794.3219,0,0,0,226.38493,1322.4957,879.9995,1302.6582,1296.144897
9,1/1/2004 8:00,47,0,47,7.36,1.22,0,7.4873114,123.91595,69.39654,0,,47,0,47.025833,0.4403534,0,45.35472,0.05101316,0,43.599857,0.038439486,41.761852,41.760456,178607.84,8.374393,158452.28,170742.88,160947.75,0,0,161574.52,1044.8904,0,0,0,-433.37784,162007.89,1047.9261,159577.77,158779.875
10,1/1/2004 9:00,234,418,110,7.71,1.6,0,17.255898,133.9016,56.72149,0,,234,229.36888,140.5713,2.1923978,229.36888,135.57596,0.25398043,219.93655,130.33026,0.19137958,335.3885,335.38467,1434417.4,15.856768,1404622.4,1455937,1395412,0,0,1391527.9,1124.5587,0,0,0,0,1391527.9,1124.5587,1370655,1363801.75
11,1/1/2004 10:00,436,736,122,8.06,1.6,0,25.351603,145.9078,45.22402,0,,436,516.5255,161.23181,4.0849805,516.5255,155.50227,0.47322848,505.68427,149.48558,0.3565876,627.3388,627.3347,2683088.5,23.298437,2671224.2,2688405.8,2589649.8,0,0,2576002,1107.3666,0,0,0,0,2576002,1107.3666,2537362,2524675
12,1/1/2004 11:00,518,838,87,10.27,1.6,0,31.060555,160.17792,36.081684,0,,518,675.1217,119.35079,4.8532567,675.1217,115.109535,0.56223017,667.1097,110.65572,0.4236522,744.7269,744.7249,3185148.8,28.359957,3179408.8,3137960.5,3017228.8,0,0,2998238,1091.7396,0,0,0,0,2998238,1091.7396,2953264.5,2938498.25
13,1/1/2004 12:00,563,882,76,12.48,0.05,0,33.640232,176.23825,31.443127,0,,563,750.0107,98.95768,5.274872,750.0107,95.44112,0.61107254,743.5563,91.748314,0.46045598,799.82715,799.8225,3420799,31.90832,3417277.2,3326449.5,3191701.2,0,0,3169901.5,1077.1919,0,0,0,0,3169901.5,1077.1919,3122353,3106741.25
14,1/1/2004 13:00,542,861,79,14.69,0.05,0,32.661755,192.69234,33.25787,0,,542,717.4005,102.70602,5.078118,717.4005,99.056244,0.5882794,710.37463,95.22357,0.44328088,771.3817,771.37573,3299140.8,33.427315,3294537.8,3187704.8,3069132.8,0,0,3048554.8,1066.7755,0,0,0,0,3048554.8,1066.7755,3002826.5,2987812.5
15,1/1/2004 14:00,479,739,130,15.35,0.05,0,28.295795,207.89711,40.66897,0,,479,558.4365,172.07579,4.487857,558.4365,165.96089,0.5199001,549.54584,159.53954,0.3917556,678.96967,678.96454,2903886,31.8426,2894918,2818178.5,2717783.5,0,0,2701835.8,1073.7983,0,0,0,0,2701835.8,1073.7983,2661308,2648001.5
16,1/1/2004 15:00,253,260,159,16,1.31,0,21.191322,220.93819,51.29727,0,,253,162.59755,188.11694,2.370413,162.59755,181.432,0.27460277,157.72543,174.41205,0.20691894,318.0536,318.04672,1360271.1,23.725603,1329634.4,1336345.9,1284623,0,0,1281127.8,1089.6665,0,0,0,0,1281127.8,1089.6665,1261910.9,1255601.25
