"PVWatts Hourly PV Performance Data"
"Requested Location","94123, USA"
"Location","Lat, Lng: 37.81, -122.42"
"Latitude (DD)","37.81"
"Longitude (DD)","-122.42"
"Elevation (m)","0"
"DC System Size (kW)","1000"
"Module Type","Premium"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","2.7","0.05","0","8","0","0"
"1","1","1","0","0","8","2.4","0.05","0","8","0","0"
"1","1","2","0","0","7","2.2","0.05","0","7","0","0"
"1","1","3","0","0","7","2.1","0.05","0","7","0","0"
"1","1","4","0","0","7","2","0.05","0","7","0","0"
"1","1","5","0","0","7","2","0.05","0","7","0","0"
"1","1","6","0","0","7","2.1","0.05","0","7","0","0"
"1","1","7","0","0","8","2.1","0.05","0","0","0","0"
"1","1","8","0","8","9","2.2","0.05","7.383","9.17","5574.008","1412.936"
"1","1","9","368","107","10","2.5","0.05","332.755","17.304","292697.664","278362.659"
"1","1","10","0","120","11","2.7","0.05","114.822","13.417","96997.907","89597.323"
"1","1","11","699","104","11","2.9","0.05","655.057","24.383","567992.115","543902.334"
"1","1","12","0","74","11","2.9","0.05","68.615","12.393","56788.995","50813.173"
"1","1","13","511","143","11","2.8","0.05","537.025","22.159","467362.168","446838.106"
"1","1","14","559","99","11","2.5","0.05","466.391","21.243","408637.049","390193.851"
"1","1","15","308","82","10","2.2","0.05","243.571","15.633","210212.738","198800.503"
"1","1","16","0","16","9","1.9","0.05","14.792","9.336","9230.086","4939.465"
"1","1","17","0","0","9","1.8","0.05","0","9","0","0"
"1","1","18","0","0","8","1.7","0.05","0","8","0","0"
"1","1","19","0","0","8","1.6","0.05","0","8","0","0"
"1","1","20","0","0","8","1.6","0.05","0","8","0","0"
"1","1","21","0","0","8","1.6","0.05","0","8","0","0"
"1","1","22","0","0","8","1.7","0.05","0","8","0","0"
"1","1","23","0","0","8","1.8","0.05","0","8","0","0"
"1","2","0","0","0","8","1.9","0.05","0","8","0","0"
"1","2","1","0","0","8","1.9","0.05","0","8","0","0"
"1","2","2","0","0","8","1.9","0.05","0","8","0","0"
"1","2","3","0","0","8","1.9","0.05","0","8","0","0"
"1","2","4","0","0","8","1.9","0.05","0","8","0","0"
"1","2","5","0","0","8","1.8","0.05","0","8","0","0"
"1","2","6","0","0","8","1.7","0.05","0","8","0","0"
"1","2","7","0","0","8","1.4","0.05","0","0","0","0"
"1","2","8","0","6","8","1.2","0.05","5.536","8.158","4144.901","34.468"
"1","2","9","0","48","9","0.9","0.05","44.44","10.375","36762.997","31496.776"
"1","2","10","0","54","9","0.6","0.05","50.018","10.677","41360.979","35931.832"
"1","2","11","0","138","8","0.4","0.05","132.188","12.693","112086.407","104151.178"
"1","2","12","0","95","8","0.2","0.05","88.659","11.347","74404.393","67804.387"
"1","2","13","0","80","9","0.1","0.05","74.19","11.895","61874.396","55718.377"
"1","2","14","0","55","8","0.3","0.05","50.941","9.868","42409.052","36942.768"
"1","2","15","0","40","8","0.6","0.05","37.019","9.241","30423.608","25382.016"
"1","2","16","0","6","8","0.8","0.05","5.535","8.165","3423.66","0"
"1","2","17","0","0","7","1","0.05","0","7","0","0"
"1","2","18","0","0","7","1","0.05","0","7","0","0"
"1","2","19","0","0","8","0.9","0.05","0","8","0","0"
"1","2","20","0","0","8","0.8","0.05","0","8","0","0"
"1","2","21","0","0","7","0.6","0.05","0","7","0","0"
"1","2","22","0","0","7","0.5","0.05","0","7","0","0"
"1","2","23","0","0","7","0.7","0.05","0","7","0","0"
"1","3","0","0","0","7","1","0.05","0","7","0","0"
"1","3","1","0","0","7","1.1","0.05","0","7","0","0"
"1","3","2","0","0","7","1","0.05","0","7","0","0"
"1","3","3","0","0","8","0.8","0.05","0","8","0","0"
"1","3","4","0","0","8","0.5","0.05","0","8","0","0"
"1","3","5","0","0","8","0.6","0.05","0","8","0","0"
"1","3","6","0","0","7","1.1","0.05","0","7","0","0"
"1","3","7","0","0","7","1.5","0.05","0","0","0","0"
"1","3","8","0","57","8","1.8","0.05","55.853","9.393","45920.26","40329.56"
"1","3","9","240","121","9","1.9","0.05","270.856","15.676","237517.999","225138.23"
"1","3","10","233","176","9","1.9","0.05","358.444","17.822","312658.573","297616.274"
"1","3","11","511","157","10","1.9","0.05","570.905","24.059","492857.412","471429.951"
"1","3","12","19","185","10","2","0.05","195.887","14.704","167269.729","157379.135"
"1","3","13","93","197","11","1.9","0.05","272.963","17.704","234640.629","222362.816"
"1","3","14","348","136","10","1.9","0.05","368.769","19.092","322489.564","307098.914"
