interval_start,interval_kW
1/1/18 1:00,277.44
1/1/18 1:15,252.48
1/1/18 1:30,249.6
1/1/18 1:45,251.52
1/1/18 2:00,249.6
1/1/18 2:15,248.64
1/1/18 2:30,248.64
1/1/18 2:45,248.64
1/1/18 3:00,247.68
1/1/18 3:15,249.6
1/1/18 3:30,250.56
1/1/18 3:45,253.44
1/1/18 4:00,253.44
1/1/18 4:15,256.32
1/1/18 4:30,256.32
1/1/18 4:45,253.44
1/1/18 5:00,251.52
1/1/18 5:15,249.6
1/1/18 5:30,254.4
1/1/18 5:45,248.64
1/1/18 6:00,252.48
1/1/18 6:15,258.24
1/1/18 6:30,259.2
1/1/18 6:45,285.12
1/1/18 7:00,301.44
1/1/18 7:15,307.2
1/1/18 7:30,307.2
1/1/18 7:45,306.24
1/1/18 8:00,314.88
1/1/18 8:15,317.76
1/1/18 8:30,338.88
1/1/18 8:45,336.96
1/1/18 9:00,353.28
1/1/18 9:15,349.44
1/1/18 9:30,357.12
1/1/18 9:45,366.72
1/1/18 10:00,424.32
1/1/18 10:15,444.48
1/1/18 10:30,477.12
1/1/18 10:45,504.96
1/1/18 11:00,538.56
1/1/18 11:15,543.36
1/1/18 11:30,576
1/1/18 11:45,574.08
1/1/18 12:00,592.32
1/1/18 12:15,592.32
1/1/18 12:30,602.88
1/1/18 12:45,601.92
1/1/18 13:00,598.08
1/1/18 13:15,599.04
1/1/18 13:30,607.68
1/1/18 13:45,622.08
1/1/18 14:00,617.28
1/1/18 14:15,617.28
1/1/18 14:30,624
1/1/18 14:45,627.84
1/1/18 15:00,643.2
1/1/18 15:15,640.32
1/1/18 15:30,634.56
1/1/18 15:45,622.08
1/1/18 16:00,628.8
1/1/18 16:15,644.16
1/1/18 16:30,650.88
1/1/18 16:45,640.32
1/1/18 17:00,640.32
1/1/18 17:15,650.88
1/1/18 17:30,648.96
1/1/18 17:45,660.48
1/1/18 18:00,657.6
1/1/18 18:15,642.24
1/1/18 18:30,648
1/1/18 18:45,635.52
1/1/18 19:00,603.84
1/1/18 19:15,577.92
1/1/18 19:30,551.04
1/1/18 19:45,535.679996
1/1/18 20:00,504.96
1/1/18 20:15,467.52
1/1/18 20:30,447.36
1/1/18 20:45,441.6
1/1/18 21:00,432
1/1/18 21:15,430.08
1/1/18 21:30,432
1/1/18 21:45,403.2
1/1/18 22:00,354.24
1/1/18 22:15,359.04
1/1/18 22:30,347.52
1/1/18 22:45,336
1/1/18 23:00,325.44
1/1/18 23:15,319.68
1/1/18 23:30,296.64
1/1/18 23:45,295.68
1/2/18 0:00,291.84
1/2/18 0:15,284.16
1/2/18 0:30,283.2
