datetime,load_kW
1/1/17 0:00,36
1/1/17 0:15,33.6
1/1/17 0:30,31.2
1/1/17 0:45,33.6
1/1/17 1:00,31.2
1/1/17 1:15,36
1/1/17 1:30,33.6
1/1/17 1:45,31.2
1/1/17 2:00,31.2
1/1/17 2:15,36
1/1/17 2:30,31.2
1/1/17 2:45,36
1/1/17 3:00,31.2
1/1/17 3:15,31.2
1/1/17 3:30,33.6
1/1/17 3:45,33.6
1/1/17 4:00,31.2
1/1/17 4:15,36
1/1/17 4:30,33.6
1/1/17 4:45,31.2
1/1/17 5:00,33.6
1/1/17 5:15,31.2
1/1/17 5:30,33.6
1/1/17 5:45,36
1/1/17 6:00,31.2
1/1/17 6:15,31.2
1/1/17 6:30,31.2
1/1/17 6:45,36
1/1/17 7:00,33.6
1/1/17 7:15,33.6
1/1/17 7:30,31.2
1/1/17 7:45,31.2
1/1/17 8:00,36
1/1/17 8:15,33.6
1/1/17 8:30,31.2
1/1/17 8:45,28.8
1/1/17 9:00,33.6
1/1/17 9:15,33.6
1/1/17 9:30,33.6
1/1/17 9:45,31.2
1/1/17 10:00,28.8
1/1/17 10:15,36
1/1/17 10:30,28.8
1/1/17 10:45,31.2
1/1/17 11:00,33.6
1/1/17 11:15,31.2
1/1/17 11:30,33.6
1/1/17 11:45,31.2
1/1/17 12:00,31.2
1/1/17 12:15,28.8
1/1/17 12:30,36
1/1/17 12:45,28.8
1/1/17 13:00,33.6
1/1/17 13:15,31.2
1/1/17 13:30,28.8
1/1/17 13:45,31.2
1/1/17 14:00,33.6
1/1/17 14:15,31.2
1/1/17 14:30,33.6
1/1/17 14:45,31.2
1/1/17 15:00,31.2
1/1/17 15:15,28.8
1/1/17 15:30,33.6
1/1/17 15:45,31.2
1/1/17 16:00,30
1/1/17 16:15,28.8
1/1/17 16:30,31.2
1/1/17 16:45,31.2
1/1/17 17:00,31.2
1/1/17 17:15,36
1/1/17 17:30,31.2
1/1/17 17:45,31.2
1/1/17 18:00,31.2
1/1/17 18:15,28.8
1/1/17 18:30,36
1/1/17 18:45,33.6
1/1/17 19:00,31.2
1/1/17 19:15,31.2
1/1/17 19:30,31.2
1/1/17 19:45,31.2
1/1/17 20:00,33.6
1/1/17 20:15,33.6
1/1/17 20:30,33.6
1/1/17 20:45,31.2
1/1/17 21:00,31.2
1/1/17 21:15,33.6
1/1/17 21:30,31.2
1/1/17 21:45,36
1/1/17 22:00,31.2
1/1/17 22:15,33.6
1/1/17 22:30,33.6
1/1/17 22:45,28.8
1/1/17 23:00,33.6
1/1/17 23:15,33.6
1/1/17 23:30,36
1/1/17 23:45,31.2
1/2/17 0:00,31.2
1/2/17 0:15,31.2
1/2/17 0:30,36
1/2/17 0:45,33.6
1/2/17 1:00,33.6
1/2/17 1:15,28.8
1/2/17 1:30,31.2
1/2/17 1:45,32.4
1/2/17 2:00,33.6
1/2/17 2:15,33.6
1/2/17 2:30,28.8
1/2/17 2:45,33.6
1/2/17 3:00,33.6
1/2/17 3:15,36
1/2/17 3:30,31.2
1/2/17 3:45,31.2
1/2/17 4:00,33.6
1/2/17 4:15,31.2
1/2/17 4:30,33.6
1/2/17 4:45,33.6
1/2/17 5:00,31.2
1/2/17 5:15,36
1/2/17 5:30,28.8
1/2/17 5:45,31.2
1/2/17 6:00,36
1/2/17 6:15,31.2
1/2/17 6:30,33.6
1/2/17 6:45,31.2
1/2/17 7:00,31.2
1/2/17 7:15,33.6
1/2/17 7:30,36
1/2/17 7:45,31.2
1/2/17 8:00,31.2
1/2/17 8:15,31.2
1/2/17 8:30,31.2
1/2/17 8:45,36
1/2/17 9:00,31.2
1/2/17 9:15,31.2
1/2/17 9:30,28.8
1/2/17 9:45,33.6
1/2/17 10:00,33.6
1/2/17 10:15,33.6
1/2/17 10:30,28.8
1/2/17 10:45,33.6
1/2/17 11:00,28.8
1/2/17 11:15,33.6
1/2/17 11:30,31.2
1/2/17 11:45,33.6
1/2/17 12:00,31.2
1/2/17 12:15,31.2
1/2/17 12:30,33.6
1/2/17 12:45,31.2
1/2/17 13:00,31.2
1/2/17 13:15,31.2
1/2/17 13:30,33.6
1/2/17 13:45,33.6
1/2/17 14:00,31.2
1/2/17 14:15,31.2
1/2/17 14:30,31.2
1/2/17 14:45,28.8
1/2/17 15:00,36
1/2/17 15:15,36
1/2/17 15:30,28.8
1/2/17 15:45,31.2
1/2/17 16:00,31.2
1/2/17 16:15,28.8
1/2/17 16:30,36
1/2/17 16:45,33.6
1/2/17 17:00,31.2
1/2/17 17:15,31.2
1/2/17 17:30,28.8
1/2/17 17:45,33.6
1/2/17 18:00,33.6
1/2/17 18:15,33.6
1/2/17 18:30,31.2
1/2/17 18:45,31.2
1/2/17 19:00,33.6
1/2/17 19:15,33.6
1/2/17 19:30,31.2
1/2/17 19:45,33.6
1/2/17 20:00,33.6
1/2/17 20:15,33.6
1/2/17 20:30,31.2
1/2/17 20:45,31.2
1/2/17 21:00,31.2
1/2/17 21:15,33.6
1/2/17 21:30,33.6
1/2/17 21:45,33.6
1/2/17 22:00,31.2
1/2/17 22:15,31.2
1/2/17 22:30,33.6
1/2/17 22:45,33.6
1/2/17 23:00,33.6
1/2/17 23:15,31.2
1/2/17 23:30,31.2
1/2/17 23:45,31.2
1/3/17 0:00,33.6
1/3/17 0:15,36
1/3/17 0:30,31.2
1/3/17 0:45,31.2
1/3/17 1:00,31.2
1/3/17 1:15,33.6
1/3/17 1:30,33.6
1/3/17 1:45,33.6
1/3/17 2:00,31.2
1/3/17 2:15,31.2
1/3/17 2:30,33.6
1/3/17 2:45,33.6
1/3/17 3:00,31.2
1/3/17 3:15,33.6
1/3/17 3:30,31.2
1/3/17 3:45,33.6
1/3/17 4:00,31.2
1/3/17 4:15,33.6
1/3/17 4:30,28.8
1/3/17 4:45,36
1/3/17 5:00,33.6
1/3/17 5:15,31.2
1/3/17 5:30,31.2
1/3/17 5:45,31.2
1/3/17 6:00,31.2
1/3/17 6:15,33.6
1/3/17 6:30,36
1/3/17 6:45,31.2
1/3/17 7:00,38.4
1/3/17 7:15,36
1/3/17 7:30,26.4
1/3/17 7:45,28.8
1/3/17 8:00,26.4
1/3/17 8:15,24
1/3/17 8:30,24
1/3/17 8:45,24
1/3/17 9:00,26.4
1/3/17 9:15,26.4
1/3/17 9:30,31.2
1/3/17 9:45,24
1/3/17 10:00,21.6
1/3/17 10:15,28.8
1/3/17 10:30,24
1/3/17 10:45,24
1/3/17 11:00,26.4
1/3/17 11:15,26.4
1/3/17 11:30,26.4
1/3/17 11:45,26.4
1/3/17 12:00,24
1/3/17 12:15,26.4
1/3/17 12:30,24
1/3/17 12:45,28.8
1/3/17 13:00,28.8
1/3/17 13:15,24
1/3/17 13:30,24
1/3/17 13:45,26.4
1/3/17 14:00,24
1/3/17 14:15,31.2
1/3/17 14:30,26.4
1/3/17 14:45,24
1/3/17 15:00,24
1/3/17 15:15,24
1/3/17 15:30,24
1/3/17 15:45,26.4
1/3/17 16:00,24
1/3/17 16:15,21.6
1/3/17 16:30,21.6
1/3/17 16:45,24
1/3/17 17:00,28.8
1/3/17 17:15,21.6
1/3/17 17:30,24
1/3/17 17:45,21.6
1/3/17 18:00,24
1/3/17 18:15,24
1/3/17 18:30,24
1/3/17 18:45,21.6
1/3/17 19:00,21.6
1/3/17 19:15,24
1/3/17 19:30,24
1/3/17 19:45,26.4
1/3/17 20:00,24
1/3/17 20:15,21.6
1/3/17 20:30,21.6
1/3/17 20:45,26.4
1/3/17 21:00,24
1/3/17 21:15,24
1/3/17 21:30,24
1/3/17 21:45,21.6
1/3/17 22:00,26.4
1/3/17 22:15,21.6
1/3/17 22:30,24
1/3/17 22:45,24
1/3/17 23:00,21.6
1/3/17 23:15,26.4
1/3/17 23:30,21.6
1/3/17 23:45,21.6
1/4/17 0:00,21.6
1/4/17 0:15,26.4
1/4/17 0:30,24
1/4/17 0:45,24
1/4/17 1:00,21.6
1/4/17 1:15,21.6
1/4/17 1:30,24
1/4/17 1:45,24
1/4/17 2:00,24
1/4/17 2:15,21.6
1/4/17 2:30,24
1/4/17 2:45,21.6
1/4/17 3:00,19.2
1/4/17 3:15,24
1/4/17 3:30,26.4
1/4/17 3:45,21.6
1/4/17 4:00,24
1/4/17 4:15,21.6
1/4/17 4:30,21.6
1/4/17 4:45,21.6
1/4/17 5:00,24
1/4/17 5:15,24
1/4/17 5:30,21.6
1/4/17 5:45,21.6
1/4/17 6:00,21.6
1/4/17 6:15,21.6
1/4/17 6:30,24
1/4/17 6:45,26.4
1/4/17 7:00,33.6
1/4/17 7:15,26.4
1/4/17 7:30,24
1/4/17 7:45,25.2
1/4/17 8:00,26.4
1/4/17 8:15,26.4
1/4/17 8:30,26.4
1/4/17 8:45,26.4
1/4/17 9:00,21.6
1/4/17 9:15,26.4
1/4/17 9:30,21.6
1/4/17 9:45,24
1/4/17 10:00,26.4
1/4/17 10:15,21.6
1/4/17 10:30,24
1/4/17 10:45,21.6
1/4/17 11:00,21.6
1/4/17 11:15,21.6
1/4/17 11:30,24
1/4/17 11:45,24
1/4/17 12:00,24
1/4/17 12:15,21.6
1/4/17 12:30,21.6
1/4/17 12:45,19.2
1/4/17 13:00,21.6
1/4/17 13:15,26.4
1/4/17 13:30,24
1/4/17 13:45,21.6
1/4/17 14:00,19.2
1/4/17 14:15,24
1/4/17 14:30,24
1/4/17 14:45,21.6
1/4/17 15:00,26.4
1/4/17 15:15,19.2
1/4/17 15:30,21.6
1/4/17 15:45,21.6
1/4/17 16:00,24
1/4/17 16:15,21.6
1/4/17 16:30,19.2
1/4/17 16:45,24
1/4/17 17:00,21.6
1/4/17 17:15,21.6
1/4/17 17:30,24
1/4/17 17:45,19.2
1/4/17 18:00,21.6
1/4/17 18:15,24
1/4/17 18:30,21.6
1/4/17 18:45,24
1/4/17 19:00,19.2
1/4/17 19:15,21.6
1/4/17 19:30,21.6
1/4/17 19:45,21.6
1/4/17 20:00,26.4
1/4/17 20:15,21.6
1/4/17 20:30,21.6
1/4/17 20:45,21.6
1/4/17 21:00,19.2
1/4/17 21:15,21.6
1/4/17 21:30,28.8
1/4/17 21:45,19.2
1/4/17 22:00,21.6
1/4/17 22:15,19.2
1/4/17 22:30,21.6
1/4/17 22:45,24
1/4/17 23:00,24
1/4/17 23:15,21.6
1/4/17 23:30,21.6
1/4/17 23:45,21.6
1/5/17 0:00,21.6
1/5/17 0:15,24
1/5/17 0:30,21.6
1/5/17 0:45,24
1/5/17 1:00,19.2
1/5/17 1:15,24
1/5/17 1:30,21.6
1/5/17 1:45,24
1/5/17 2:00,21.6
1/5/17 2:15,24
1/5/17 2:30,24
1/5/17 2:45,19.2
1/5/17 3:00,21.6
1/5/17 3:15,24
1/5/17 3:30,21.6
1/5/17 3:45,26.4
1/5/17 4:00,21.6
1/5/17 4:15,19.2
1/5/17 4:30,21.6
1/5/17 4:45,26.4
1/5/17 5:00,24
1/5/17 5:15,19.2
1/5/17 5:30,21.6
1/5/17 5:45,21.6
1/5/17 6:00,24
1/5/17 6:15,24
1/5/17 6:30,21.6
1/5/17 6:45,21.6
1/5/17 7:00,36
1/5/17 7:15,40.8
1/5/17 7:30,38.4
1/5/17 7:45,36
1/5/17 8:00,52.8
1/5/17 8:15,52.8
1/5/17 8:30,52.8
1/5/17 8:45,43.2
1/5/17 9:00,38.4
1/5/17 9:15,43.2
1/5/17 9:30,40.8
1/5/17 9:45,28.8
1/5/17 10:00,40.8
1/5/17 10:15,28.8
1/5/17 10:30,31.2
1/5/17 10:45,26.4
1/5/17 11:00,26.4
1/5/17 11:15,26.4
1/5/17 11:30,26.4
1/5/17 11:45,28.8
1/5/17 12:00,24
1/5/17 12:15,21.6
1/5/17 12:30,21.6
1/5/17 12:45,21.6
1/5/17 13:00,22.8
1/5/17 13:15,24
1/5/17 13:30,24
1/5/17 13:45,24
1/5/17 14:00,21.6
1/5/17 14:15,21.6
1/5/17 14:30,21.6
1/5/17 14:45,24
1/5/17 15:00,24
1/5/17 15:15,21.6
1/5/17 15:30,19.2
1/5/17 15:45,21.6
1/5/17 16:00,21.6
1/5/17 16:15,26.4
1/5/17 16:30,21.6
1/5/17 16:45,21.6
1/5/17 17:00,19.2
1/5/17 17:15,24
1/5/17 17:30,21.6
1/5/17 17:45,26.4
1/5/17 18:00,21.6
1/5/17 18:15,19.2
1/5/17 18:30,24
1/5/17 18:45,24
1/5/17 19:00,21.6
1/5/17 19:15,24
1/5/17 19:30,21.6
1/5/17 19:45,21.6
1/5/17 20:00,24
1/5/17 20:15,21.6
1/5/17 20:30,24
1/5/17 20:45,21.6
1/5/17 21:00,26.4
1/5/17 21:15,21.6
1/5/17 21:30,19.2
1/5/17 21:45,26.4
1/5/17 22:00,21.6
1/5/17 22:15,24
1/5/17 22:30,21.6
1/5/17 22:45,21.6
1/5/17 23:00,24
1/5/17 23:15,26.4
1/5/17 23:30,21.6
1/5/17 23:45,21.6
1/6/17 0:00,21.6
1/6/17 0:15,26.4
1/6/17 0:30,21.6
1/6/17 0:45,24
1/6/17 1:00,21.6
1/6/17 1:15,21.6
1/6/17 1:30,26.4
1/6/17 1:45,24
1/6/17 2:00,21.6
1/6/17 2:15,21.6
1/6/17 2:30,24
1/6/17 2:45,24
1/6/17 3:00,21.6
1/6/17 3:15,21.6
1/6/17 3:30,26.4
1/6/17 3:45,19.2
1/6/17 4:00,24
1/6/17 4:15,24
1/6/17 4:30,24
1/6/17 4:45,21.6
1/6/17 5:00,21.6
1/6/17 5:15,24
1/6/17 5:30,24
1/6/17 5:45,21.6
1/6/17 6:00,24
1/6/17 6:15,25.2
1/6/17 6:30,26.4
1/6/17 6:45,24
1/6/17 7:00,76.8
1/6/17 7:15,117.6
1/6/17 7:30,108
1/6/17 7:45,122.4
1/6/17 8:00,110.4
1/6/17 8:15,117.6
1/6/17 8:30,168
1/6/17 8:45,187.2
1/6/17 9:00,208.8
1/6/17 9:15,175.2
1/6/17 9:30,177.6
1/6/17 9:45,165.6
1/6/17 10:00,120
1/6/17 10:15,112.8
1/6/17 10:30,170.4
1/6/17 10:45,160.8
1/6/17 11:00,177.6
1/6/17 11:15,163.2
1/6/17 11:30,153.6
1/6/17 11:45,158.4
1/6/17 12:00,168
1/6/17 12:15,165.6
1/6/17 12:30,158.4
1/6/17 12:45,115.2
1/6/17 13:00,74.4
1/6/17 13:15,69.6
1/6/17 13:30,72
1/6/17 13:45,67.2
1/6/17 14:00,64.8
1/6/17 14:15,64.8
1/6/17 14:30,64.8
1/6/17 14:45,55.2
1/6/17 15:00,26.4
1/6/17 15:15,21.6
1/6/17 15:30,19.2
1/6/17 15:45,21.6
1/6/17 16:00,19.2
1/6/17 16:15,24
1/6/17 16:30,24
1/6/17 16:45,21.6
1/6/17 17:00,21.6
1/6/17 17:15,21.6
1/6/17 17:30,19.2
1/6/17 17:45,24
1/6/17 18:00,26.4
1/6/17 18:15,19.2
1/6/17 18:30,21.6
1/6/17 18:45,21.6
1/6/17 19:00,24
1/6/17 19:15,21.6
1/6/17 19:30,24
1/6/17 19:45,21.6
1/6/17 20:00,21.6
1/6/17 20:15,24
1/6/17 20:30,19.2
1/6/17 20:45,24
1/6/17 21:00,24
1/6/17 21:15,19.2
1/6/17 21:30,24
1/6/17 21:45,24
1/6/17 22:00,19.2
1/6/17 22:15,21.6
1/6/17 22:30,24
1/6/17 22:45,24
1/6/17 23:00,21.6
1/6/17 23:15,21.6
1/6/17 23:30,21.6
1/6/17 23:45,21.6
1/7/17 0:00,26.4
1/7/17 0:15,24
1/7/17 0:30,21.6
1/7/17 0:45,19.2
1/7/17 1:00,21.6
1/7/17 1:15,24
1/7/17 1:30,26.4
1/7/17 1:45,21.6
1/7/17 2:00,19.2
1/7/17 2:15,24
1/7/17 2:30,21.6
1/7/17 2:45,24
1/7/17 3:00,24
1/7/17 3:15,21.6
1/7/17 3:30,21.6
1/7/17 3:45,24
1/7/17 4:00,24
1/7/17 4:15,24
1/7/17 4:30,24
1/7/17 4:45,21.6
1/7/17 5:00,26.4
1/7/17 5:15,21.6
1/7/17 5:30,24
1/7/17 5:45,21.6
1/7/17 6:00,21.6
1/7/17 6:15,24
1/7/17 6:30,24
1/7/17 6:45,24
1/7/17 7:00,33.6
1/7/17 7:15,26.4
1/7/17 7:30,28.8
1/7/17 7:45,21.6
1/7/17 8:00,26.4
1/7/17 8:15,26.4
1/7/17 8:30,26.4
1/7/17 8:45,26.4
1/7/17 9:00,26.4
1/7/17 9:15,21.6
1/7/17 9:30,26.4
1/7/17 9:45,21.6
1/7/17 10:00,26.4
1/7/17 10:15,21.6
1/7/17 10:30,21.6
1/7/17 10:45,21.6
1/7/17 11:00,24
1/7/17 11:15,24
1/7/17 11:30,24
1/7/17 11:45,21.6
1/7/17 12:00,24
1/7/17 12:15,24
1/7/17 12:30,24
1/7/17 12:45,21.6
1/7/17 13:00,19.2
1/7/17 13:15,21.6
1/7/17 13:30,24
1/7/17 13:45,24
1/7/17 14:00,24
1/7/17 14:15,21.6
1/7/17 14:30,21.6
1/7/17 14:45,19.2
1/7/17 15:00,21.6
1/7/17 15:15,21.6
1/7/17 15:30,26.4
1/7/17 15:45,21.6
1/7/17 16:00,21.6
1/7/17 16:15,19.2
1/7/17 16:30,21.6
1/7/17 16:45,21.6
1/7/17 17:00,24
1/7/17 17:15,26.4
1/7/17 17:30,21.6
1/7/17 17:45,19.2
1/7/17 18:00,21.6
1/7/17 18:15,21.6
1/7/17 18:30,24
1/7/17 18:45,21.6
1/7/17 19:00,24
1/7/17 19:15,21.6
1/7/17 19:30,21.6
1/7/17 19:45,21.6
1/7/17 20:00,21.6
1/7/17 20:15,26.4
1/7/17 20:30,19.2
1/7/17 20:45,26.4
1/7/17 21:00,21.6
1/7/17 21:15,21.6
1/7/17 21:30,21.6
1/7/17 21:45,21.6
1/7/17 22:00,21.6
1/7/17 22:15,21.6
1/7/17 22:30,26.4
1/7/17 22:45,21.6
1/7/17 23:00,21.6
1/7/17 23:15,21.6
1/7/17 23:30,21.6
1/7/17 23:45,21.6
1/8/17 0:00,24
1/8/17 0:15,21.6
1/8/17 0:30,24
1/8/17 0:45,24
